backend	assignment_label	instance_count	cores	numas	numa_binding_applied	result_dir	status
orientdb	chiplet_x4	48	0,1,2,3,7,8,9,10,14,15,16,17,21,22,23,24,28,29,30,31,35,36,37,38,42,43,44,45,49,50,51,52,56,57,58,59,63,64,65,66,70,71,72,73,77,78,79,80	0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0	False	/home/seunghyun/ycsb/results/chiplet_ycsb_256mib_madracks-mnode5_20260314T060453Z_1429430/runs/orientdb/chiplet_x4	ok
orientdb	chiplet_x5	60	0,1,2,3,4,7,8,9,10,11,14,15,16,17,18,21,22,23,24,25,28,29,30,31,32,35,36,37,38,39,42,43,44,45,46,49,50,51,52,53,56,57,58,59,60,63,64,65,66,67,70,71,72,73,74,77,78,79,80,81	0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0	False	/home/seunghyun/ycsb/results/chiplet_ycsb_256mib_madracks-mnode5_20260314T060453Z_1429430/runs/orientdb/chiplet_x5	ok
orientdb	chiplet_x6	72	0,1,2,3,4,5,7,8,9,10,11,12,14,15,16,17,18,19,21,22,23,24,25,26,28,29,30,31,32,33,35,36,37,38,39,40,42,43,44,45,46,47,49,50,51,52,53,54,56,57,58,59,60,61,63,64,65,66,67,68,70,71,72,73,74,75,77,78,79,80,81,82	0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0	False	/home/seunghyun/ycsb/results/chiplet_ycsb_256mib_madracks-mnode5_20260314T060453Z_1429430/runs/orientdb/chiplet_x6	ok
orientdb	chiplet_x7	84	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83	0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0	False	/home/seunghyun/ycsb/results/chiplet_ycsb_256mib_madracks-mnode5_20260314T060453Z_1429430/runs/orientdb/chiplet_x7	ok
elasticsearch	chiplet_x1	12	0,7,14,21,28,35,42,49,56,63,70,77	0,0,0,0,0,0,0,0,0,0,0,0	False	/home/seunghyun/ycsb/results/chiplet_ycsb_256mib_madracks-mnode5_20260314T060453Z_1429430/runs/elasticsearch/chiplet_x1	ok
elasticsearch	chiplet_x2	24	0,1,7,8,14,15,21,22,28,29,35,36,42,43,49,50,56,57,63,64,70,71,77,78	0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0	False	/home/seunghyun/ycsb/results/chiplet_ycsb_256mib_madracks-mnode5_20260314T060453Z_1429430/runs/elasticsearch/chiplet_x2	ok
elasticsearch	chiplet_x3	36	0,1,2,7,8,9,14,15,16,21,22,23,28,29,30,35,36,37,42,43,44,49,50,51,56,57,58,63,64,65,70,71,72,77,78,79	0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0	False	/home/seunghyun/ycsb/results/chiplet_ycsb_256mib_madracks-mnode5_20260314T060453Z_1429430/runs/elasticsearch/chiplet_x3	ok
elasticsearch	chiplet_x4	48	0,1,2,3,7,8,9,10,14,15,16,17,21,22,23,24,28,29,30,31,35,36,37,38,42,43,44,45,49,50,51,52,56,57,58,59,63,64,65,66,70,71,72,73,77,78,79,80	0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0	False	/home/seunghyun/ycsb/results/chiplet_ycsb_256mib_madracks-mnode5_20260314T060453Z_1429430/runs/elasticsearch/chiplet_x4	ok
elasticsearch	chiplet_x5	60	0,1,2,3,4,7,8,9,10,11,14,15,16,17,18,21,22,23,24,25,28,29,30,31,32,35,36,37,38,39,42,43,44,45,46,49,50,51,52,53,56,57,58,59,60,63,64,65,66,67,70,71,72,73,74,77,78,79,80,81	0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0	False	/home/seunghyun/ycsb/results/chiplet_ycsb_256mib_madracks-mnode5_20260314T060453Z_1429430/runs/elasticsearch/chiplet_x5	ok
elasticsearch	chiplet_x6	72	0,1,2,3,4,5,7,8,9,10,11,12,14,15,16,17,18,19,21,22,23,24,25,26,28,29,30,31,32,33,35,36,37,38,39,40,42,43,44,45,46,47,49,50,51,52,53,54,56,57,58,59,60,61,63,64,65,66,67,68,70,71,72,73,74,75,77,78,79,80,81,82	0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0	False	/home/seunghyun/ycsb/results/chiplet_ycsb_256mib_madracks-mnode5_20260314T060453Z_1429430/runs/elasticsearch/chiplet_x6	ok
elasticsearch	chiplet_x7	84	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83	0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0	False	/home/seunghyun/ycsb/results/chiplet_ycsb_256mib_madracks-mnode5_20260314T060453Z_1429430/runs/elasticsearch/chiplet_x7	ok
